day	sum	infected	cured	deceased
495	265035.883707	7.021100	223922.777582	41106.085024
496	265036.303256	6.875103	223923.256638	41106.171515
497	265036.714182	6.732165	223923.725798	41106.256218
498	265037.116637	6.592217	223924.185251	41106.339169
499	265037.510776	6.455190	223924.635184	41106.420402
500	265037.896748	6.321017	223925.075783	41106.499949
501	265038.274705	6.189633	223925.507228	41106.577843
502	265038.644794	6.060975	223925.929701	41106.654118
503	265039.007163	5.934980	223926.343378	41106.728805
504	265039.361957	5.811589	223926.748434	41106.801935
505	265039.709322	5.690743	223927.145040	41106.873539
506	265040.049400	5.572385	223927.533367	41106.943649
507	265040.382334	5.456459	223927.913581	41107.012294
508	265040.708263	5.342912	223928.285847	41107.079504
509	265041.027328	5.231692	223928.650327	41107.145308
510	265041.339665	5.122748	223929.007181	41107.209736
511	265041.645411	5.016032	223929.356565	41107.272815
512	265041.944702	4.911495	223929.698633	41107.334573
513	265042.237670	4.809093	223930.033539	41107.395038
514	265042.524449	4.708782	223930.361431	41107.454237
515	265042.805169	4.610518	223930.682456	41107.512195
516	265043.079961	4.514262	223930.996758	41107.568941
517	265043.348952	4.419974	223931.304480	41107.624498
518	265043.612269	4.327617	223931.605760	41107.678892
519	265043.870038	4.237155	223931.900736	41107.732148
520	265044.122384	4.148553	223932.189541	41107.784289
521	265044.369429	4.061779	223932.472308	41107.835341
522	265044.611295	3.976803	223932.749166	41107.885326
523	265044.848102	3.893594	223933.020241	41107.934267
524	265045.079969	3.812124	223933.285658	41107.982186
525	265045.307013	3.732369	223933.545538	41108.029105
526	265045.529351	3.654303	223933.800001	41108.075047
527	265045.747098	3.577903	223934.049163	41108.120032
528	265045.960366	3.503148	223934.293138	41108.164080
529	265046.169269	3.430019	223934.532039	41108.207211
530	265046.373916	3.358497	223934.765973	41108.249447
531	265046.574418	3.288566	223934.995047	41108.290804
532	265046.770874	3.220201	223935.219369	41108.331304
533	265046.963319	3.153301	223935.439051	41108.370966
534	265047.151813	3.087816	223935.654189	41108.409808
535	265047.336426	3.023709	223935.864872	41108.447845
536	265047.517229	2.960947	223936.071187	41108.485094
537	265047.694290	2.899498	223936.273221	41108.521570
538	265047.867678	2.839329	223936.471060	41108.557288
539	265048.037460	2.780409	223936.664787	41108.592265
540	265048.203705	2.722707	223936.854485	41108.626513
541	265048.366478	2.666194	223937.040235	41108.660049
542	265048.525847	2.610843	223937.222117	41108.692887
543	265048.681875	2.556624	223937.400210	41108.725040
544	265048.834628	2.503513	223937.574592	41108.756524
545	265048.984171	2.451483	223937.745338	41108.787351
546	265049.130566	2.400509	223937.912522	41108.817535
547	265049.273877	2.350568	223938.076220	41108.847089
548	265049.414166	2.301637	223938.236502	41108.876027
549	265049.551494	2.253694	223938.393439	41108.904361
